Army Public School,1880001,Libing Post Tadong Gangtok Sikkim,324001,3592,270604,22895,-,nishajha3012@gmail.com,-,1999,Nisha Jha,Senior Secondary,Army Welfare Edu Soceity,-,East District
Govt Sec School,1820122,Rong South Sikkim,737126,3595,9593788007,9.20E+11,-,hmrongss@yahoo.com,khanisirbongwestsikkim.in,1984,Chewang Tenzing Bhutia,Secondary School,Govt Of Sikkim,-,South District
Govt Sec School,1820123,Ben South Sikkim,737126,91,9002126055,9.20E+11,-,bnssth@gmail.com,khanisirbongwestsikkim.in,1984,Angela Chemi Chingapa,Senior Secondary,Govt Of Sikkim,-,South District
Govt Sec School,1820125,Pabong Po Pabong Basty South Sikkim,737126,3595,000000,9.20E+11,-,Rolandsubba@yahoo.com,khanisirbongwestsikkim.in,1984,Roland Subba,Secondary School,Govt Of Sikkim,-,South District
Govt Sec School,1820039,Jorethang South Sikkim,737134,359,257286,-,-,archanagurung@rediffmail.com,-,1955,Archana Gurung,Senior Secondary,Dept.of Education -sikkim,-,South District
Govt Sec School,1820044,Sumbuk Via- Melli South Sikkim,737128,91,9434630188,-,-,gyanpsdsharma@gmail.com,-,1940,Gyan Prasad Sharma,Senior Secondary,Dept.of Education -sikkim,-,South District
Govt Sec School,1820059,Lingchom West Sikkim,737121,3595,250021,9434356226,-,lingchomssswest@gmail.com,-,1948,Hem Sagar Kaphley,Senior Secondary,State Govt.,-,West District
Govt Sec School,1820058,Okhrey West Sikkim,737122,-,0000000000,9434356226,-,bhagirathsharma100@gmail.com,-,1957,Bhagirath Sharma,Secondary School,State Govt.,-,West District
Govt Sec School,1820119,Turuk South Sikkim,737126,359,63395,9.20E+11,-,samserlama321@gmail.com,khanisirbongwestsikkim.in,1984,Samser Lama,Secondary School,Govt Of Sikkim,-,South District
Govt Sec School,1820077,Gerethang Po- Tashiding West Sikkim,737102,3595,250021,9474531971,-,hmgerethangss@gmail.com,-,1970,Birkha Singh Subba,Senior Secondary,Dpi,-,West District
Govt Sec School,1820082,Timburbung West Sikkim,737116,359,253663,9474531971,-,subbadolan@gmail.com,-,1942,Dolan Hang Subba,Secondary School,Govt Of Sikkim,-,West District
Govt Sec School,1820182,"Gangyap, Po Arithang, Khongrong,tashiding, West Sikkim",737116,9535,259688,9733098355,-,khyongtoedbot@gmail.com,-,-,Tashi Ongyal Bhutia,Secondary School,-,-,West District
Govt Sec School,1820194,"Chotasamdong, West Sikkim, Po Aurobotay",737121,-,9733062411,9733135433,-,ganesh.sisek@gmail.com,-,-,Ganeshkumar Subba,Senior Secondary,-,-,West District
Govt Sec School,1820187,"Labdang, Po Tashiding, Dist, Gyalshing, West Sikkim",737113,353,9733227762,9733135433,-,1820187@gmail.com,-,-,Nim Lhamu Bhutia,Secondary School,-,-,West District
Govt Sec School,1820115,Dodak West Sikkim,737126,3214,7872316210,202054,-,pegadinesh@gmail.com,-,1984,Dinesh Pega,Secondary School,Govt Of Sikkim,-,West District
Govt Sec School,1820131,Khandu Po Dentam Bazar West Sikkim,737112,3595,000000000000000,244294,-,premlall.dahal6@gmail.com,khanisirbongwestsikkim.in,1984,Prem Lall Sharma,Secondary School,Govt Of Sikkim,-,West District
Govt Sec School,1820133,Kamling Po Suldeing Via Nayabazar West Sikkim,737121,91,7872881070,253326,-,rajanipega106@gmail.com,khanisirbongwestsikkim.in,1984,Rajani Pega,Senior Secondary,Govt Of Sikkim,-,West District
Govt Sec School,1820192,"Sopakha, Busty, Po Uttarey, Dist-gyalshing, West Sikkim",737113,-,09733155874,9733135433,-,sopakhass@gmail.com,-,-,Tika Ram Chhetri,Secondary School,-,-,West District
Govt Sec School,1820116,Khaniserbang West Sikkim,737126,91,000000,9.20E+11,-,tilaksharma1144@gmail.com,khanisirbongwestsikkim.in,1984,Tilak  Sharma,Senior Secondary,Govt Of Sikkim,-,West District
Govt Sec School,1820117,Zoom West Sikkim,737126,91,9734126385,9.20E+11,-,dikenpradhan@gmail.com,khanisirbongwestsikkim.in,1984,Dikendra Mani Pradhan,Secondary School,Govt Of Sikkim,-,West District
Govt Sec School,1820061,Uttarey West Sikkim,737122,3595,9593274414,-,-,nimakitlepcha@yahoo.com,-,1949,Nimakit Lepcha,Senior Secondary,Government,-,West District
Govt Sec School,1820145,Ribdi West Sikkim Sikkim,737102,359,235087,253889,-,lpgurungtamu@gmail.com,khanisirbongwestsikkim.in,1983,Laxmi Prasad Gurung,Senior Secondary,Govt Of Sikkim,-,West District
Govt Sec School Gelling,1820132,Gelling O Chakung Distt West Sikkim,737121,3593,9434137100,-,-,ganeshbista1234@gmail.com,khanisirbongwestsikkim.in,1950,Mr. Ganesh Kr Bista,Senior Secondary,Smc,-,West District
Govt Secondary School,1820104,Aritar East Sikkim,737135,-,-,9474531971,-,sonam_z77@yahoo.in,-,1984,Sonam Zangpo Bhutia,Secondary School,Govt Of Sikkim,-,East District
Govt Secondary School,1820074,Duga Via- Rangpo East Sikkim,737102,-,-,9474531971,-,dugaschool@gmail.com,-,1935,S K Lama,Secondary School,State Government Education Departme,-,East District
Govt Secondary School,1820110,Dalapchand East Sikkim,737135,3214,222660,202054,-,dalapchandschool@gmail.com,-,1984,Sonam Topgay Bhutia,Secondary School,Govt Of Sikkim,-,East District
Govt Secondary School,1820143,Lower Samdong East Sikkim Sikkim,737102,3592,226335,253889,-,lowersamdongss@gmail.com,khanisirbongwestsikkim.in,1983,Santosh Kumar Chettri,Secondary School,Govt Of Sikkim,-,East District
Govt Secondary School,1820134,Lower Sumin East Sikkim,737134,91,8759466018,253326,-,lsss.2017@yahoo.com,khanisirbongwestsikkim.in,1984,Karan Singh,Secondary School,Govt Of Sikkim,-,East District
Govt Secondary School,1820128,Sirwani Po Singtam East Sikkim,737134,3592,9593978409,232332,-,tdgensapa@gmail.com,khanisirbongwestsikkim.in,1984,Thendup Tshering  Gensapa,Secondary School,Govt Of Sikkim,-,East District
Govt Secondary School,1820024,Linkey Po - Biring Via- Ranipool East Sikkim,737101,3592,257157,-,-,misnayan40@yahoo.com,-,1979,Narayan Mishra,Secondary School,Govt. Of Sikkim,-,East District
Govt Secondary School,1820144,Gor North Sikkim,737102,959,9609863376,253889,-,greenphuchungla@gamail.com,khanisirbongwestsikkim.in,1983,Phuchungla Bhutia,Secondary School,Govt Of Sikkim,-,North District
Govt Secondary School,1820204,"Mangzing Block-yangang, Via-singtam, South Sikkim-737 134",-,-,-,-,-,-,-,-,-,Secondary School,-,-,East District
Govt Secondary School,1820205,"Deythang, P.o. Sree Badam, West  Sikkim- 737 121",-,-,-,-,-,-,-,-,-,Secondary School,-,-,West District
Govt Secondary School,1820209,"Sardong,west Sikkim-737 111",-,-,-,-,-,-,-,-,-,Secondary School,-,-,West District
Govt Secondary School,1820092,New Namchi Po- Namchi South Sikkim,737116,3595,263052,9474531971,-,rukmani68@yahoo.com,-,1950,Rukmani Rai,Secondary School,Govt Of Sikkim,-,South District
Govt Secondary School,1820033,Chakung Via- Naya Bazar West Sikkim,737127,3595,0000,9932047757,-,chakungsss@gmail.com,-,1934,Shiva Prasad Sharma,Senior Secondary,Govt. Of Sikkim,-,West District
Govt Sr Sec School,1820055,Rumtek Rawtey East Sikkim,737135,91,9679012425,9434356226,-,yentenbhutia123.@gmail.com,-,1881,Yenten Gyatso Bhutia,Senior Secondary,Dept.of Education -sikkim,-,East District
Govt Sr Sec School,1820057,Ranka Dhajey Gangtok East Sikkim,737101,359,210226,9434356226,-,chhetritb83@yahoo.com,-,1948,Tek Bahadur Chhetri,Senior Secondary,Government,-,East District
Govt Sr Sec School,1820064,Mamring Biring East Sikkim,737132,7602,7602025109,9434356226,-,radhamishra63@gmail.com,-,1952,Radha Mishra,Senior Secondary,Govt Of Sikkim,-,East District
Govt Sr Sec School,1820022,Rongli Chujachen East Sikkim,737133,359,9593984004,235,-,yangchuk@gmail.com,-,1974,Yangchuk Donka,Senior Secondary,Govt. Of Sikkim,-,East District
Govt Secondary School,1820146,Salghari South Sikkim Sikkam,737126,3595,257077,253889,-,khanisirbong.ss@gmail.com,khanisirbongwestsikkim.in,1983,Kapil Mani Silwal,Secondary School,Govt Of Sikkim,-,South District
Govt Sr Sec School,1820007,Central Pendam Via- Rangpo Duga East Sikkim,733132,3595,250807,9434862200,-,sabitayug@yahoo.com,-,1964,Sabita Sharma,Senior Secondary,Govt,-,East District
Govt Sr Sec School,1820018,Dikling Pakyong East Sikkim,737106,8772,427479,9434862200,-,maiyachettri@gmail.com,-,1947,Jag Maya Chettri,Senior Secondary,Dept.of Education -sikkim,-,East District
Govt Sr Sec School,1820026,Deorali Gangtok Sikkim,737135,3592,280956,9832315715,-,annoerai@gmail.com,-,1952,Anugrah E Rai,Senior Secondary,Govt Of Sikkim,-,East District
Govt Sr Sec School,1820027,Assam Lingzey Gangtok East Sikkim,737135,3592,9733391530,9832315715,-,maladorjee@live.com,-,1952,Mala Jigdal Dorjee,Senior Secondary,Govt Of Sikkim,-,East District
Govt Sr Sec School,1820020,Mangan North Sikkim,737116,3592,9083004612,235,-,msss1952@yahoo.in,-,1954,Tshering Lhamu Bhutia,Senior Secondary,Dept. Of Edn. Govt Of Sikkim Sikkim,-,North District
Govt Sr Sec School,1820014,Phodong North Sikkim,737119,359,2262236,9434862200,-,varebhau1972@yahoo.com,-,1950,Sangeeta Kharga,Senior Secondary,Govt. Of Sikkim,-,North District
Govt Sr Sec School,1820056,Lingdok Via- Gangtok Sikkim,737101,592,9800304449,9434356226,-,sanghadeorali@gmail.com,-,1985,Sanghamitra Sharma,Senior Secondary,Govt. Of Sikkim,-,East District
Govt Sr Sec School,1820010,Sadam Via- Melli South Sikkim,737121,3595,250807,9434862200,-,p.rajdhungel@gmail.com,-,1886,Pushpa Raj Dhungel,Senior Secondary,Govt.,-,South District
Govt Sr Sec School,1820017,Namchi South Sikkim,737126,3595,263844,234,-,namchisrsecschool@gmail.com,-,1932,K Inbaraj,Senior Secondary,State Govt Of Sikkiim,-,South District
Govt Sr Sec School,1820035,Ravangla South Sikkim,737134,3595,260848,9932047757,-,sombarey@gmail.com,-,1954,Jamuna Gurung,Senior Secondary,Govt. Of Sikkim,-,South District
Govt Sr Sec School,1820060,Buriakhop Timbur Bhung Via- Soreng West Sikkim,737126,-,000000000000000,9434356226,-,bariakhopschool@gmail.com,-,1949,Sonam Gyatso Bhutia,Senior Secondary,Government,-,West District
Govt Sr Sec School,1820006,Pelling Gyalshing West Sikkim,737113,3595,250807,9434862200,-,nkpelling@gmail.com,-,1964,Nanda Kumar Karki,Senior Secondary,Govt,-,West District
Govt Sr Sec School,1820009,Kaluk West Sikkim,737114,359,245507,9434862200,-,principalkaluk@gmail.com,-,1938,Laxuman Sharma,Senior Secondary,Dept.of Education -sikkim,-,West District
Govt Sr Sec School,1820028,Soreyong West Sikkim,737121,35,95253204,9832315715,-,bas_net72@yahoo.com,-,1976,Narayan Basnet,Senior Secondary,Govt Of Sikkim,-,West District
Govt Sr Sec School,1820031,Sombaria West Sikkim,737122,3595,254247,9932047757,-,ambika.adarsh@gmail.com,-,1890,Ramesh Kumar Pandey,Senior Secondary,Government Department Of Education,-,West District
Govt Sr. Sec School,1820023,Smc Rangpo East Sikkim,737132,3592,263857,-,-,hannahyon2@gmail.com,-,1974,Hannah Yonzan,Senior Secondary,Govt. Of Sikkim,-,East District
Govt Sr. Sec School,1820047,Dikchu East Sikkim,737107,3592,226655,-,-,sarojapradhan7@gmail.com,-,1985,Saroja Pradhan,Senior Secondary,Govt. Of Sikkim Edn. Department,-,East District
Govt Sr. Sec School,1820038,Lingee South Sikkim,737134,-,-,-,-,gyanupradhan890@gmail.com,-,1955,Gyanu Pradhan,Senior Secondary,Dept.of Education -sikkim,-,South District
Govt Sr. Sec School,1820051,Kewzing South Sikkim,737134,91,9609878230,-,-,motilalkoirala325@gmail.com,-,1936,Motilal Koirala,Senior Secondary,Govt. Of Sikkim Dept. Of Education,-,South District
Govt Sr. Sec School,1820042,Yuksom  Dt- Gyalshing West Sikkim,737126,359,9593278848,-,-,winnie888@gmail.com,-,1952,Winnie Fred Rai,Senior Secondary,Government Of Sikkim,-,West District
Govt Sr. Sec School,1820037,Tharpu West Sikkim,737121,359,253108,-,-,tharpuss@gmail.com,-,1951,Narendra Kumar Chhetri,Senior Secondary,Govt Of Siikkim,-,West District
Govt Sr. Sec. School,1820016,Rhenock East Sikkim,737133,3592,253602,245,-,BMPRADHAN1@YAHOO.IN,-,1978,B M Pradhan,Senior Secondary,Govt. Of Sikkim,-,East District
Govt Sr Sec School,1820030,Hee Yangthang  West Sikkim,737111,3595,242280,-,-,NARATHDHANRAI@GMAIL.COM,-,1941,Narathdhan Rai,Senior Secondary,Govt. Of Sikkim,-,West District
Govt Sr.Sec School,1820079,Machong Po- Linkey East Sikkim,737103,359,257888,3592322118,-,bhutia.abil@gmail.com,-,1968,Sonam Doma Bhutia,Senior Secondary,D P I  Sikkim,-,East District
Govt West Point Sr.Sec. School,1820004,"Gangtok, East Sikkim",737101,3592,202031,3592202031,-,westpointgangtok@gmail.com,-,1956,Pemba Lhamu,Senior Secondary,Dept.of Education -sikkim,-,East District
Govt Sr. Sec. School,1820062,Khechuperi West Sikkim,737113,359,-,-,-,dep24shar@gmail.com,-,1948,Jamuna Gurung,Senior Secondary,Dept.of Education -sikkim,-,West District
Govt. Barul Secondary School,1820171,Barul South Sikkim,737135,-,-,-,-,raisunder7009@gmail.com,-,1984,Sunder Kumar Rai,Secondary School,Dpi,-,South District
Govt. C M Rai Govt. Sec School,1820157,Omchu South Sikkim,737126,-,-,-,-,pprabin37@yahoo.com,-,1984,Prabin Pradhan,Secondary School,Dpi,-,South District
Govt. Biraspati Parsai Sr. Sec School,1820025,Ranipool East Sikkim,737135,359,2251833,-,-,ranipool_gsss@rediffmail.com,-,1952,Basu Dev Adhikari,Senior Secondary,Govt Of Sikkim,-,East District
Govt. Co-Edn. Sec School,1820068,Melli Dara South Sikkim,737126,-,7797469623,-,-,tnorbutshering@ymail.com,-,1935,Norbu Tshering Tamang,Senior Secondary,State Government Education Departme,-,South District
Govt. Girls Sr Sec School,1820069,Gyalshing West Sikkim,737126,3595,250492,9434356226,-,ggsss2012@gmail.com,-,1935,Sushma Subba Bhutia,Senior Secondary,State Government Education Departme,-,West District
Govt. Karzi Sec School,1820170,Larzi West Sikkim,737135,-,-,-,-,karjeess34036@gmail.com,-,1984,D S Rana,Secondary School,Dpi,-,West District
Govt. Jr. High School,1820198,"Assangthang, Namchi, South Sikkim-737126",-,359,5263759,4427,-,sowangchingapa@gmail.com,-,1954,Sonam Wangchuk Bhutia,Secondary School,Education Society A F Stn Kanpur,-,South District
Govt. Kripasalyan Sr. Sec. School,1820094,Daramdin West Sikkim,737116,3592,9434241620,-,-,purnachhetri53@gmail.com,-,1952,Purna Bahadur Chhetri,Senior Secondary,Govt Of Sikkim,-,West District
Govt. Lower Syari Sec. School,1820140,Tadong Gangtok East Sikkim,737102,3592,231768,253889,-,syari007school@gmail.com,khanisirbongwestsikkim.in,1985,Sandhya Basnett,Secondary School,Govt Of Sikkim,-,East District
Govt. Reshi Sec. School,1820152,West Reshi Bazar West Sikkim,737121,-,000000000,9436563084,-,narendrachaurasia0001@gmail.com,-,1970,Narendra Kumar,Secondary School,Navodaya Vidyalaya Samiti,-,West District
Govt. Sec School,1820090,Tarpin Po- Rhenock East Sikkim,737116,91,9832371136,9474531971,-,sharmakumar1961@gmail.com,-,1966,Kumar Sharma,Secondary School,Govt Of Sikkim,-,East District
Govt. Sec School,1820093,Luing East Sikkim,737116,3592,9832012883,9474531971,-,sonam3377@yahoo.in,-,1952,Karma Sonam Bhutia,Senior Secondary,Govt Of Sikkim,-,East District
Govt. Sec School,1820067,Penlong East Sikkim,737126,3592,206407,-,-,thapamadan992@gmail.com,-,1935,Madan Kumar Thapa,Secondary School,State Government Education Departme,-,East District
Govt. Sec School,1820087,Lachen North Sikkim,737116,-,-,9474531971,-,-,-,1913,Anand Pradhan,Secondary School,Govt Of Sikkim,-,North District
Govt. Sec School,1820086,Po- Lachung North Sikkim,737121,-,-,9474531971,-,lakhi_lachungpa@yahoo.com,-,1950,Ram Ayodhya Pandit,Secondary School,Govt Of Sikkim,-,North District
Govt. Sec School,1820089,Sakyong Bhaluthang Po- Mangley Sinchu Thang Via- Singtam South Sikkim,737116,359,9733064346,9474531971,-,manikumarlimboo@gmail.com,-,1947,Bhakta Bahadur Rai,Senior Secondary,Govt Of Sikkim,-,South District
Govt. Sec School,1820099,Passingdong North Sikkim,737116,3592,234595,9474531971,-,nlepcha5968@gmail.com,-,1975,Namgay Lepcha,Secondary School,Govt Of Sikkim,-,North District
Govt. Sec School,1820091,Namphok South Sikkim,737116,-,-,9474531971,-,jigme64@yahoo.in,-,1966,Anita Sewa,Secondary School,Govt Of Sikkim,-,South District
Govt. Sec School,1820095,Turung Via- Rangpo South Sikkim,737116,91,959326540,9474531971,-,turungsecsch@gmail.com,-,1953,Bhim Bahadur Rai,Secondary School,Govt Of Sikkim,-,South District
Govt. Sec School,1820096,Tarku South Sikkim,737116,3592,261828,9474531971,-,dhungel62@gmail.com,-,1954,Jaman Singh Chauhan,Secondary School,Govt Of Sikkim,-,South District
Govt. Sec School,1820098,Jorrong Po- Ravangla South Sikkim,737116,91,7872896188,9474531971,-,bimla1640@gmail.com,-,1958,Bimla Rai,Secondary School,Govt Of Sikkim,-,South District
Govt. Sec School,1820070,Borong South Sikkim,737126,-,-,-,-,-,-,1935,Gopal Ram Gupta,Secondary School,State Government Education Departme,-,South District
Govt. Sec School,1820088,Yangsum Po- Chingthang West Sikkim,737116,91,9735762705,9474531971,-,deechen01@gmail.com,-,1960,Dechen Ongmo Bhutia,Senior Secondary,Govt Of Sikkim,-,West District
Govt. Sec School,1820101,Chumbong West Sikkim,737135,3595,9434407837,9474531971,-,Chumbongss@gmail.com,-,1984,Basant Kumar Chettri,Secondary School,Govt Of Sikkim,-,West District
Govt. Sec School,1820103,Bermiok Martam Gyalshing West Sikkim,737135,-,00000000000,-,-,bermioksecondary@gmail.com,www.bermioksecondary.ac.in,1948,Mr. Pradeep Gurung,Senior Secondary,Hrd Department,-,West District
Govt. Sec. School,1820174,"Rorathang, Po Rhenock, East Sikkim, Sikkim",737133,-,0000000000,-,-,shengakarma31@gmail.com,http://www.sssrorathang.com,1974,Mr. H. N. Shenga,Senior Secondary,Govt.of Sikkim,-,East District
Govt. Sec. School,1820153,"Pipalay Naya Bazar, West Sikkim",737121,359,000000,9436563084,-,pushpachettri1966@gmail.com,-,1970,Pushpa Chettri,Secondary School,Navodaya Vidyalaya Samiti,-,West District
Govt. Sec. School,1820197,"Lower Bermiok, Po Bermiok, West Sikkim-737113",-,-,000000,-,-,pokhreltulshi85@gmail.com,-,1954,Tulshi Ram Sharma,Secondary School,Education Society A F Stn Kanpur,-,West District
Govt. Sec. School,1820196,"Rinchenpong, West Sikkim, P.o. Rinchenpong, Ps Kaluk, Distt. Geyzing (west)73711, Sikkim",-,-,-,-,-,-,-,-,-,Secondary School,-,-,West District
Govt. Sec. School Lingi Payong,1820200,South Sikkim- 737134,-,91,9734176551,-,-,trsuntoley@gmail.com,-,2007,Tulshi Ram Adhikari,Secondary School,"Bharatiya Vidya Bhavan,mumbai",-,East District
"Govt. Sec. School Ringhim, Mangam",1820199,Nth Sikkim-737116,-,-,0496 - 2623804,-,-,qybhavan@yahoo.co.in,-,2007,Principal,Secondary School,"Bharatiya Vidya Bhavan,mumbai",-,North District
Govt. Secondary School,1820180,"Ralap, Po Makha, East Sikkim",737138,-,000,9832622833,-,dorjee7197@gmail.com,-,1955,Dorjee Sherpa,Secondary School,Dept.of Education -sikkim,-,East District
Govt. Secondary School,1820167,"Sang Tshalamthang, P.o.sangkhola, East Sikkim, Sikkim-737134",737135,3592,9476286694,-,-,razeverraz@gmail.com,-,1984,Raju Sharma,Secondary School,Dpi,-,East District
Govt. Secondary School,1820179,"Pachak, Po Pachak, East Sikkim",737131,-,9434382165,9733087699,-,khemrajkhanal72@gmail.com,-,1970,Khem Raj Khanal,Secondary School,Navodaya Vidyalaya Samiti,-,East District
Govt. Secondary School,1820185,"Tareythang, East Sikkim, Po Bering , Sikkim-737106",-,-,-,-,-,-,-,-,-,Secondary School,-,-,East District
Govt. Secondary School,1820206,"Bordang, Po Bardang Bo, East Sikkim- 737 134",-,-,-,-,-,-,-,-,-,Secondary School,-,-,East District
Govt. Secondary School,1820202,"P.o Yangang, South Sikkim-737134",-,-,-,-,-,-,-,-,-,Secondary School,-,-,East District
Govt. Secondary School,1820210,"Begha, P.o. Dentam West Sikkim",-,-,-,-,-,-,-,-,-,Secondary School,-,-,West District
Govt. Secondary School,1820211,"Mickkhola, P.o.mickkhola, Namchi, South Sikkim- 737 126.",-,-,-,-,-,-,-,-,-,Secondary School,-,-,South District
